IBD_percent,fraction_IBD.iida,fraction_IBD.iidb
4.219307051,Sample5025065,Sample5026735
4.211491468,Sample5024414,Sample5026031
4.205084628,Sample5024706,Sample5025118
4.203333218,Sample5026578,Sample5026727
4.195316881,Sample5024006,Sample5025782
4.195078052,PU8,Sample5026297
4.193181268,Sample5025257,Sample5025958
4.184694195,Sample5024818,Sample5026884
4.183437749,Sample5024264,Sample5024981
4.174310339,Sample5024719,Sample5026443
4.172396248,Sample5024006,Sample5026433
4.156131667,Sample5024054,Sample5026735
4.154895988,Sample5025398,Sample5025958
4.154567166,PU1,PU13
4.151123187,Sample5024591,Sample5026814
4.150192101,Sample5026443,Sample5026878
4.144609048,Sample5024820,Sample5025684
4.143792184,Sample5025964,Sample5026735
4.134432868,PU14,Sample5026588
4.13311758,PU14,Sample5026578
4.132774913,PU14,PU4
4.132774913,PU14,Sample5024833
4.129313627,Sample5025076,Sample5026452
4.127070714,Sample5024264,Sample5026911
4.124990481,Sample5026441,Sample5026578
4.122487972,PU13,PU14
4.120830016,PU12,Sample5026588
4.119649718,PU13,Sample5026588
4.11957357,PU13,Sample5024833
4.118434807,Sample5025266,Sample5026433
4.11822713,Sample5024055,Sample5026402
4.115721159,Sample5024264,Sample5024473
4.115471946,PU13,Sample5024264
4.115468485,Sample5024096,Sample5024833
4.106711433,Sample5025257,Sample5026588
4.103385137,PU14,Sample5024473
4.102994012,PU25,Sample5025398
4.084316915,Sample5026735,Sample5026773
4.081042539,PU12,Sample5024264
4.08085563,PU13,Sample5024051
4.08085563,Sample5024096,Sample5024264
4.080038766,Sample5025065,Sample5025958
4.077754318,PU8,Sample5025257
4.071496314,Sample5026438,Sample5026735
4.064597972,PU5,Sample5026134
4.056626631,PU12,PU13
4.050669759,PU15,PU25
4.04991866,Sample5024008,Sample5024086
4.049755979,PU2,Sample5026443
4.047329618,Sample5025262,Sample5026847
4.046242775,Sample5024549,Sample5025262
4.042781489,Sample5024056,Sample5025263
4.038541414,Sample5025065,Sample5025263
4.035363954,Sample5025257,Sample5026773
4.032397632,Sample5025076,Sample5025398
4.028645599,Sample5026054,Sample5026793
4.022761414,Sample5024264,Sample5024704
4.02207954,Sample5024981,Sample5026134
4.022013776,Sample5025398,Sample5026773
4.016261119,Sample5024981,Sample5026878
4.011629919,Sample5024054,Sample5024535
4.011629919,Sample5026712,Sample5026773
4.004707348,Sample5024706,Sample5026814
4.004707348,PU16,Sample5026578
4.00436122,Sample5024485,Sample5024535
4.001758333,Sample5024086,Sample5026468
4.001246063,Sample5025076,Sample5025264
4.001246063,Sample5024591,Sample5026773
4.001176837,Sample5024818,Sample5025958
3.998996227,Sample5026712,Sample5026735
3.998456267,Sample5024535,Sample5025125
3.997784777,Sample5024535,Sample5024992
3.994323492,Sample5024054,Sample5025964
3.972018968,Sample5024818,Sample5026735
3.968585373,Sample5024051,Sample5024473
3.964957945,PU28,Sample5026883
3.961666263,Sample5024056,Sample5026847
3.948253781,Sample5025973,Sample5026773
3.937205358,Sample5024056,Sample5025076
3.927378768,Sample5024096,Sample5024706
3.925097781,Sample5024171,Sample5025398
3.924360527,Sample5024008,Sample5024054
3.906296078,PU25,Sample5026910
